codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
50,5037,1,2010,8,2
50,5037,1,2010,8,2
50,5037,1,2010,8,2
41,41799,1,2010,8,2
23,2358,1,2010,8,2
52,52835,1,2010,7,2
81,81001,1,2010,7,2
86,86568,1,2010,7,2
5,5234,1,2006,10,2
50,50251,1,2009,9,2
50,50251,1,2009,9,2
50,50251,1,2009,9,2
50,5027,1,2006,2,1
50,5027,1,2006,2,1
5,512,1,2010,7,2
76,76275,1,2010,7,2
18,18592,1,2010,4,2
23,23807,1,2010,4,2
23,23807,1,2010,4,2
23,23807,1,2010,4,2
23,23807,1,2010,4,2
23,23807,1,2010,4,2
23,23807,1,2010,4,2
13,13042,1,2009,9,2
13,13042,1,2009,9,2
5,5045,1,2009,9,2
25,25535,1,2009,8,2
52,52678,1,2009,6,1
50,50318,1,2009,3,2
50,5037,1,2009,3,2
52,52678,1,2009,8,2
18,1841,1,2009,2,1
18,1841,1,2009,2,1
18,1841,1,2009,2,1
81,81794,1,2008,8,1
5,566,1,2007,6,2
54,54398,1,2007,6,2
5,5649,1,2006,4,2
5,5361,1,2006,3,2
18,18592,1,2006,2,2
54,5425,1,2010,11,2
50,50711,1,2010,11,2
18,1841,1,2010,11,2
18,1841,1,2010,11,2
52,52356,1,2010,11,2
52,52356,1,2010,11,2
52,52356,1,2010,11,2
52,52356,1,2010,11,2
52,52356,1,2010,11,2
73,73555,1,2010,11,2
73,73555,1,2010,11,2
18,1841,1,2010,11,2
13,13744,1,2010,11,2
54,548,1,2010,10,2
50,50223,1,2010,11,2
13,13688,1,2010,11,2
23,2358,1,2010,11,2
23,2358,1,2010,11,2
81,81794,1,2010,11,2
81,81794,1,2010,11,2
81,81794,1,2010,11,2
81,81794,1,2010,11,2
41,4102,1,2010,11,2
41,4102,1,2010,11,2
41,4102,1,2010,11,2
5,5031,1,2010,11,2
23,2358,1,2010,10,2
23,2358,1,2010,10,2
54,5481,1,2010,10,2
86,86569,1,2010,10,2
18,1841,1,2010,10,2
18,1841,1,2010,10,2
18,1841,1,2010,10,2
18,1841,1,2010,10,2
95,95001,1,2010,10,2
95,95001,1,2010,10,2
95,95001,1,2010,10,2
81,81794,1,2010,10,2
18,1841,1,2010,10,2
23,2358,1,2010,10,2
23,2358,1,2010,10,2
18,1841,1,2010,10,2
23,2358,1,2010,10,2
95,952,1,2010,10,2
50,50711,1,2010,10,2
50,50711,1,2010,10,2
50,50711,1,2010,10,2
23,2358,1,2010,9,2
85,85315,1,2010,9,2
23,2358,1,2010,9,2
50,50711,1,2010,9,2
73,73555,1,2010,9,2
50,5059,1,2010,9,2
86,86865,1,2008,8,1
52,52233,1,2009,3,2
52,52612,1,2011,1,2
52,52612,1,2011,1,2
76,76275,1,2011,1,2
18,18753,1,2011,1,2
23,2358,1,2011,1,2
52,52612,1,2011,1,2
18,1841,1,2011,1,2
52,52835,1,2011,1,2
18,18753,1,2011,1,2
18,18753,1,2011,1,2
76,76275,1,2011,1,2
76,76275,1,2011,1,2
76,76275,1,2011,1,2
85,85315,1,2011,1,2
85,85315,1,2011,1,2
85,85315,1,2011,1,2
85,85315,1,2011,1,2
50,5037,1,2011,1,2
18,1841,1,2011,1,2
50,50223,1,2010,10,2
52,52079,1,2010,10,2
76,76275,1,2010,10,2
23,23807,1,2010,10,2
50,50325,1,2010,10,2
23,2358,1,2010,9,2
73,73555,1,2010,9,2
50,5037,1,2010,9,2
85,85315,1,2010,9,2
85,85315,1,2010,9,2
85,85315,1,2010,9,2
5,579,1,2010,9,2
18,1815,1,2010,9,2
50,50711,1,2010,9,2
5,5234,1,2010,9,2
5,5234,1,2010,9,2
5,5234,1,2010,9,2
5,5234,1,2010,9,2
5,5234,1,2010,9,2
5,5234,1,2010,9,2
52,52835,1,2010,8,2
54,5425,1,2010,8,2
19,19212,1,2010,8,2
19,19212,1,2010,8,2
19,19212,1,2010,8,2
5,5858,1,2010,8,2
5,5858,1,2010,8,2
5,5854,1,2009,3,1
5,5858,1,2010,8,2
5,5858,1,2010,8,2
50,5037,1,2010,8,2
5,5234,1,2010,8,2
41,41078,1,2010,8,2
5,5107,1,2010,8,2
5,5107,1,2010,8,2
50,5037,1,2010,8,2
23,2358,1,2011,2,2
23,2358,1,2011,2,2
23,2358,1,2011,2,2
76,76275,1,2011,2,2
76,76275,1,2011,2,2
18,1846,1,2011,2,2
18,1846,1,2011,2,2
73,73616,1,2011,2,2
23,2358,1,2011,2,2
18,18592,1,2011,2,2
5,579,1,2011,2,2
18,18592,1,2011,2,2
5,5234,1,2011,2,2
19,1905,1,2011,2,2
19,1905,1,2011,2,2
23,2358,1,2011,2,2
23,2358,1,2011,2,2
50,5037,1,2011,2,2
50,5035,1,2011,2,2
23,2358,1,2011,2,2
76,76275,1,2011,2,2
5,579,1,2011,2,2
23,2358,1,2011,2,2
23,2358,1,2011,2,2
81,81794,1,2010,1,1
81,81794,1,2010,1,1
81,81794,1,2010,1,1
23,23807,1,2010,1,2
5,579,1,2010,1,2
18,1815,1,2010,1,1
5,566,1,2009,2,1
18,18753,1,2009,2,2
73,73622,1,2009,2,2
50,50711,1,2009,2,2
54,54206,1,2009,2,2
86,86569,1,2009,3,2
54,5472,1,2009,3,2
5,5045,1,2009,3,2
5,5031,1,2009,3,2
50,5059,1,2005,3,1
18,18592,1,2009,3,2
50,5045,1,2009,3,2
18,18094,1,2009,3,2
18,18094,1,2009,3,2
76,76275,1,2009,3,2
18,18592,1,2009,3,2
54,54344,1,2009,3,2
54,54344,1,2009,3,2
54,54344,1,2009,3,2
86,86757,1,2008,9,1
86,86571,1,2009,3,1
5,579,1,2009,3,2
5,504,1,2009,3,2
5,504,1,2009,3,2
54,54344,1,2009,3,2
81,81794,1,2009,3,2
